Nombre del Juego,URL de la Imagen
Horizon Zero Dawn Remastered,https://gmedia.playstation.com/is/image/SIEPDC/horizon-zero-dawn-remastered-keyart-nologo-01-en-21oct24?$800px--t$
Until Dawn,https://gmedia.playstation.com/is/image/SIEPDC/until-dawn-hero-mobile-01-en-22jan24?$600px--t$
Helldivers 2,https://gmedia.playstation.com/is/image/SIEPDC/until-dawn-hero-mobile-01-en-22jan24?$600px--t$
Stellar Blade,https://gmedia.playstation.com/is/image/SIEPDC/stellar-blade-keyart-no-logo-01-en-7jun24?$800px--t$
La ascensión del Ronin,https://gmedia.playstation.com/is/image/SIEPDC/rise-of-the-ronin-hero-banner-mobile-01-en-30mar23?$600px--t$
Marvel's Spider-Man 2,https://gmedia.playstation.com/is/image/SIEPDC/ps5-game-carousel-spider-man-3-15jan24?$600px--t$
God of War Ragnarök,https://gmedia.playstation.com/is/image/SIEPDC/god-of-war-raganok-clean-keyart-01-en-10mar22?$800px--t$
The Last of Us Parte&nbsp;I,https://gmedia.playstation.com/is/image/SIEPDC/ps5-games-the-last-of-us-part-1-image-block-en-20jun22?$800px--t$
Gran Turismo 7,https://gmedia.playstation.com/is/image/SIEPDC/ps5-games-gt7-hub-image-block-01-en-10mar22?$800px--t$
Ratchet y Clank™: Una dimensión aparte,https://gmedia.playstation.com/is/image/SIEPDC/ps5-games-ratchet-and-clank-rift-apart-image-block-en-26aug22?$800px--t$
Returnal™,https://gmedia.playstation.com/is/image/SIEPDC/ps5-games-returnal-image-block-01-en-28jul21?$600px--t$
Ghost of Tsushima™ - Versión del director,https://gmedia.playstation.com/is/image/SIEPDC/ps5-games-ghost-of-tsushima-image-block-02-en-14oct21?$600px--t$
Horizon Forbidden West™,https://gmedia.playstation.com/is/image/SIEPDC/ps5-games-horizon-forbidden-west-image-block-01-en-28jul21?$800px--t$
Dragon Age: The Veilguard,https://gmedia.playstation.com/is/image/SIEPDC/dragon-age-the-veilguard-hero-desktop-01-en-28jun24?$1600px$
Sonic X Shadow Generations,https://gmedia.playstation.com/is/image/SIEPDC/sonic-x-shadow-generations-mobile-01-en-23may24?$1200px$
Silent Hill 2,https://gmedia.playstation.com/is/image/SIEPDC/silent-hill-keyart-no-logo-01-en-7jun24?$1600px$
NBA 2K25,https://gmedia.playstation.com/is/image/SIEPDC/nba-2k25-whatIS-01-desktop-en-05aug24?$1600px$
Star Wars™ Outlaws,https://gmedia.playstation.com/is/image/SIEPDC/star-wars-outlaws-keyart-no-logo-01-en-7jun24?$1200px$
EA Sports College Football 25,https://gmedia.playstation.com/is/image/SIEPDC/ea-sports-college-football-25-hero-desktop-01-en-13may24?$1600px$
Black Myth Wukong,https://gmedia.playstation.com/is/image/SIEPDC/black-myth-wukong-keyart-01-en-24jan24?$1200px$
Madden NFL 25,https://gmedia.playstation.com/is/image/SIEPDC/madden-nfl-25-madden-nfl-25-deluxe-edition-hero-desktop-01-en-07jun24?$1200px$
Resident Evil 4,https://gmedia.playstation.com/is/image/SIEPDC/resident-evil-4-remake-keyart-clean-01-en-01dec22?$1600px$
Ghost of Yotei,https://gmedia.playstation.com/is/image/SIEPDC/ghost-of-yotei-keyart-nologo-01-en-21oct24?$1600px$
Death Stranding 2,https://gmedia.playstation.com/is/image/SIEPDC/death-stranding-2-keyart-no-logo-01-en-7jun24?$1200px$
Assassin's Creed: Shadows,https://gmedia.playstation.com/is/image/SIEPDC/death-stranding-2-keyart-no-logo-01-en-7jun24?$1200px$
Baby Steps,https://gmedia.playstation.com/is/image/SIEPDC/babysteps-keyart-nologo-01-en-21oct24?$1600px$
DOOM: The Dark Ages,https://gmedia.playstation.com/is/image/SIEPDC/doom-the-dark-ages-screenshot-edit-09-en-10june24?$1200px$
Hell is Us,https://gmedia.playstation.com/is/image/SIEPDC/hell-is-us-keyart-nologo-01-en-1oct24?$1600px$
Indiana Jones y el Gran Círculo,https://gmedia.playstation.com/is/image/SIEPDC/indiana-jones-great-circle-keyart-nologo-01-en-21oct24?$1200px$
Marvel's Spider Man,https://gmedia.playstation.com/is/image/SIEPDC/ps5-games-page-background-block-desktop-03-en-19jul21?$4000px$
Serie de Horizon,https://gmedia.playstation.com/is/image/SIEPDC/ps5-games-page-background-block-desktop-03-en-19jul21?$1600px$
Fortnite,https://gmedia.playstation.com/is/image/SIEPDC/ps5-games-horizon-forbidden-west-image-block-01-en-28jul21?$600px--t$
The Last of Us,https://gmedia.playstation.com/is/image/SIEPDC/fortnite-games-image-block-en-04dec23?$600px--t$
God of War,https://gmedia.playstation.com/is/image/SIEPDC/ps5-games-the-last-of-us-part-1-image-block-en-20jun22?$800px--t$
Uncharted™,https://gmedia.playstation.com/is/image/SIEPDC/ps5-games-uncharted-hub-image-block-02-en-21oct21?$800px--t$
Resident Evil,https://gmedia.playstation.com/is/image/SIEPDC/ps5-games-uncharted-hub-image-block-02-en-21oct21?$600px--t$
Final Fantasy,https://gmedia.playstation.com/is/image/SIEPDC/ps5-games-resident-evil-image-block-02-en-28jul21?$800px--t$
Gran Turismo,https://gmedia.playstation.com/is/image/SIEPDC/final-fantasy-hub-games-image-block-01-en-07jul23?$600px--t$
